,district,total_enrollment,total_test_takers,percent_meeting_both_benchmarks,school_year_expenditure,average_daily_attendance,daily_expenditure,enrollment_k_thru_12,num_students_eligible_for_frpm,percentage_eligible_for_frpm
54,Morongo Unified,1102.0,188.0,52.659574468085104,103824160.95,7941.35,13073.867912886348,8616,6075,70.508356545961
55,Lucerne Valley Unified,1227.0,50.0,44.0,11263609.3,695.63,16191.954487299285,5416,2952,54.505169867060566
56,Manteca Unified,3848.0,882.0,45.12471655328798,260766084.03,22301.87,11692.565871382087,23617,14149,59.91023415336411
57,Lucia Mar Unified,1674.0,486.0,64.19753086419753,113426693.98,9847.93,11517.820900432884,10363,5179,49.975875711666504
58,South San Francisco Unified,1353.0,361.0,67.03601108033241,103511767.67,7982.84,12966.784711957149,8485,3505,41.30819092516205
59,Anderson Union High,869.0,150.0,50.0,18819343.45,1427.43,13184.074490517924,1737,950,54.69199769717904
60,Vacaville Unified,2114.0,658.0,61.39817629179331,122295710.69,10883.27,11237.037277399164,13276,5471,41.20970171738475
61,Windsor Unified,930.0,293.0,59.044368600682596,45858243.04,3701.78,12388.160031120164,5165,1964,38.02516940948693
62,Oakdale Joint Unified,863.0,209.0,67.94258373205741,55107626.93,5040.21,10933.59739574343,5396,2387,44.236471460340994
63,Turlock Unified,2484.0,690.0,53.91304347826087,167998002.49,13455.59,12485.368719617647,14261,8828,61.903092349765096
64,Castro Valley Unified,1496.0,661.0,79.72768532526474,102239937.34,8940.2,11435.978763338628,9269,2214,23.886071852411263
65,San Ramon Valley Unified,5351.0,2485.0,89.61770623742454,339618872.5,31055.22,10935.967367160818,32138,1822,5.669301138838758
66,Sanger Unified,1663.0,558.0,42.831541218637994,126812104.77,10417.61,12172.85968374704,12305,8112,65.92442096708655
67,Bellflower Unified,1908.0,474.0,56.118143459915615,145793378.49,11291.62,12911.644076757808,11671,8086,69.2828378031017
68,West Covina Unified,2347.0,635.0,55.118110236220474,118789978.6,8217.89,14455.04607630426,13565,9243,68.13859196461482
69,San Rafael City High,1308.0,524.0,65.64885496183206,37237637.81,2490.36,14952.71278449702,2640,1355,51.32575757575758
70,North Monterey County Unified,698.0,179.0,30.16759776536313,57712048.34,4320.11,13358.930291126848,4595,3902,84.9183895538629
71,Brea-Olinda Unified,939.0,347.0,78.6743515850144,57997560.68,5776.97,10039.442939811008,6008,1826,30.392809587217045
72,Orange Unified,4361.0,2296.0,43.771777003484324,279010634.57,24206.8,11526.126318637738,27478,12942,47.09949778004221
73,Los Alamitos Unified,1520.0,678.0,76.10619469026548,108644810.37,9470.12,11472.379480935828,9730,1634,16.793422404933196
74,Hemet Unified,3583.0,1433.0,26.58757850662945,272916593.57,20074.85,13594.950575969435,22025,18196,82.61520998864927
75,Center Joint Unified,673.0,94.0,68.08510638297872,50745057.83,4013.33,12644.127901269021,4229,2685,63.490186805391346
76,Barstow Unified,761.0,97.0,51.54639175257732,75006946.74,5858.64,12802.791559133177,6344,5004,78.87767969735184
77,Victor Valley Union High,3921.0,2021.0,19.940623453735775,136183180.21,9773.36,13934.120937937414,11327,9512,83.97633971925488
78,Snowline Joint Unified,1101.0,268.0,55.97014925373134,87666436.84,6985.67,12549.467243657373,7439,4993,67.11923645651298
79,San Francisco Unified,8829.0,4298.0,63.51791530944625,817101561.65,49912.87,16370.558568361224,60390,31025,51.374399735055476
80,Morgan Hill Unified,1328.0,514.0,71.20622568093385,90662331.48,7845.76,11555.583076719146,8945,3159,35.31581889323645
81,Woodlake Unified,324.0,78.0,34.61538461538461,26587448.21,2015.75,13189.854004712886,2118,1883,88.90462700661
82,Oak Park Unified,857.0,384.0,90.625,45781712.28,4424.57,10347.15515406017,4579,350,7.643590303559729
83,Acalanes Union High,2770.0,1192.0,89.34563758389261,80123902.3,5426.46,14765.409180202194,5683,374,6.581031145521732
