,district,12th_enrollment,12th_number_of_test_takers,%_scores_greater>=21,school_year_expenditure,average_daily_attendance,daily_expenditure,enrollment_k_thru_12,num_students_eligible_for_frpm,percentage_eligible_for_frpm
233,Manteca Unified,1925.0,124.0,58.87,260766084.03,22301.87,11692.565871382087,23617,14149,59.91023415336411
234,Ripon Unified,405.0,46.0,80.43,32643980.56,3165.31,10313.043765065664,4628,1729,37.359550561797754
235,Stockton Unified,2734.0,354.0,32.77,500026300.5,32964.89,15168.450448340644,41634,31010,74.48239419705048
236,Tracy Joint Unified,1515.0,160.0,52.5,162366066.49,13971.6,11621.150511752412,15906,8449,53.11832013076826
237,Lammersville Joint Unified,283.0,52.0,88.46,52688591.97,5198.23,10135.87162745781,5348,905,16.922213911742706
238,Atascadero Unified,355.0,35.0,77.14,49932928.57,4503.37,11087.90274172453,4738,1818,38.37062051498523
239,Lucia Mar Unified,865.0,194.0,61.86,113426693.98,9847.93,11517.820900432884,10363,5179,49.975875711666504
240,San Luis Coastal Unified,591.0,174.0,80.46,96158404.77,7235.1,13290.542600655139,7813,2703,34.596185844105975
241,Templeton Unified,203.0,69.0,72.46,25289893.54,2311.36,10941.564074830401,2394,471,19.674185463659146
242,Paso Robles Joint Unified,578.0,89.0,59.55,78893149.23,6433.66,12262.56115958879,6844,3462,50.584453535943894
243,Cabrillo Unified,251.0,65.0,76.92,38226512.39,3012.99,12687.235068818683,3152,1193,37.848984771573605
244,Jefferson Union High,1179.0,132.0,74.24,54450201.31,4068.71,13382.669521789461,4786,1403,29.314667781027996
245,South San Francisco Unified,682.0,41.0,75.61,103511767.67,7982.84,12966.784711957149,8485,3505,41.30819092516205
246,Carpinteria Unified,167.0,39.0,53.85,30542984.0,2072.64,14736.27064999228,2177,1272,58.42903077629765
247,Lompoc Unified,648.0,41.0,60.98,110323664.39,9023.57,12226.165962030549,10045,6592,65.62468889995023
248,Orcutt Union Elementary,145.0,49.0,81.63,45824480.24,4186.78,10945.041353976088,5181,2130,41.11175448755067
249,Santa Maria Joint Union High,1949.0,243.0,38.27,100586863.54,7651.84,13145.447832155403,8166,6006,73.54886113152094
250,Santa Ynez Valley Union High,231.0,50.0,76.0,11593194.09,876.6,13225.18148528405,926,259,27.96976241900648
251,Santa Barbara Unified,1669.0,395.0,71.65,166324897.83,12603.35,13196.880022375004,14801,7474,50.49658806837376
252,Campbell Union High,2023.0,403.0,80.4,106899706.23,7785.49,13730.633040438046,8271,2095,25.329464393664615
253,East Side Union High,6785.0,777.0,54.44,285829345.07,21330.1,13400.28153032569,26568,13212,49.728997289972895
254,Fremont Union High,2761.0,872.0,94.27,165529877.91,10591.23,15628.956968170836,11022,1424,12.919615314824895
255,Gilroy Unified,972.0,147.0,62.59,128503511.99,10481.27,12260.299752797131,11652,6399,54.917610710607626
256,Morgan Hill Unified,636.0,115.0,77.39,90662331.48,7845.76,11555.583076719146,8945,3159,35.31581889323645
257,San Jose Unified,2648.0,443.0,71.33,348554444.47,28193.81,12362.800361852478,31114,13281,42.68496496753873
258,Milpitas Unified,829.0,72.0,88.89,115757306.08,9951.26,11632.427057478148,10172,3181,31.27211954384585
259,Pajaro Valley Unified,1315.0,257.0,34.24,260323635.18,16968.45,15341.627265896414,20106,15493,77.05660001989456
260,San Lorenzo Valley Unified,244.0,25.0,76.0,27394860.62,2191.04,12503.131216226086,5251,1139,21.691106455913157
261,Scotts Valley Unified,194.0,60.0,86.67,23959088.42,2328.43,10289.804039631856,2421,266,10.987195373812474
262,Anderson Union High,444.0,29.0,72.41,18819343.45,1427.43,13184.074490517924,1737,950,54.69199769717904
263,Fall River Joint Unified,86.0,21.0,42.86,16082930.76,1107.26,14524.981269078626,1200,727,60.583333333333336
264,Shasta Union High,1308.0,115.0,83.48,57100002.29,4097.72,13934.57881211991,5649,2085,36.909187466808284
265,Yreka Union High,150.0,38.0,52.63,9151212.53,585.18,15638.286561399911,629,299,47.53577106518283
266,Scott Valley Unified,45.0,27.0,40.74,8776308.74,633.16,13861.123160022744,668,407,60.928143712574844
267,Benicia Unified,406.0,67.0,83.58,47907683.29,4454.46,10754.992364955573,4662,1113,23.873873873873876
268,Dixon Unified,310.0,67.0,50.75,36506721.41,3031.35,12043.057189041185,3626,1963,54.13678985107556
269,Fairfield-Suisun Unified,1560.0,94.0,62.77,219811559.4,20390.67,10780.006708950712,21405,12671,59.19644942770381
270,Travis Unified,419.0,40.0,70.0,58423236.52,5289.46,11045.217568523063,5495,1517,27.606915377616016
271,Vacaville Unified,975.0,97.0,63.92,122295710.69,10883.27,11237.037277399164,13276,5471,41.20970171738475
272,Vallejo City Unified,994.0,71.0,30.99,150107174.79,10878.6,13798.390858198663,14287,9715,67.99888010079093
273,West Sonoma County Union High,450.0,55.0,72.73,22313161.76,1706.2,13077.694150744344,1933,604,31.24676668391102
274,Sonoma Valley Unified,293.0,47.0,65.96,51923529.47,3624.02,14327.605661668533,4329,2642,61.03026103026104
275,Cotati-Rohnert Park Unified,529.0,73.0,60.27,70052793.76,5451.88,12849.291209637777,6166,2637,42.76678559844307
276,Windsor Unified,466.0,116.0,60.34,45858243.04,3701.78,12388.160031120164,5165,1964,38.02516940948693
277,Ceres Unified,1073.0,34.0,23.53,160295158.34,13122.3,12215.477343148686,14848,11914,80.23976293103449
278,Patterson Joint Unified,458.0,15.0,46.67,75714529.71,5728.4,13217.395731792472,6077,4619,76.0078986341945
279,Newman-Crows Landing Unified,227.0,18.0,55.56,39499642.97,3077.37,12835.519606027225,3225,2054,63.689922480620154
280,Oakdale Joint Unified,437.0,38.0,68.42,55107626.93,5040.21,10933.59739574343,5396,2387,44.236471460340994
281,Turlock Unified,1240.0,105.0,64.76,167998002.49,13455.59,12485.368719617647,14261,8828,61.903092349765096
282,Live Oak Unified,143.0,33.0,36.36,21008591.37,1766.13,11895.268960948515,1862,1493,80.18259935553169
283,Sutter Union High,189.0,22.0,77.27,8138204.03,723.2,11253.047607853981,775,255,32.903225806451616
284,Yuba City Unified,972.0,116.0,61.21,152239409.58,11722.5,12986.940463211773,13111,9728,74.1972389596522
285,Corning Union High,228.0,113.0,29.2,12521664.56,954.49,13118.696434745258,1010,737,72.97029702970296
286,Los Molinos Unified,37.0,38.0,23.68,7379135.55,532.97,13845.31127455579,555,363,65.4054054054054
287,Red Bluff Joint Union High,372.0,151.0,41.72,21509751.29,1538.1,13984.624725310448,1643,987,60.073037127206334
288,Trinity Alps Unified,93.0,15.0,73.33,10470101.73,682.24,15346.654740267355,744,439,59.005376344086024
289,Cutler-Orosi Joint Unified,292.0,85.0,11.76,51526210.03,3940.12,13077.319987716111,4151,3916,94.33871356299687
290,Tulare Joint Union High,1284.0,177.0,35.59,73170089.68,5379.58,13601.450239609785,5621,3864,68.74221668742216
291,Visalia Unified,2216.0,187.0,55.08,328174802.84,27668.73,11860.855299104802,29107,19742,67.82560896004397
292,Farmersville Unified,216.0,46.0,17.39,33044278.39,2410.62,13707.792348026649,2559,2383,93.1223134036733
293,Porterville Unified,1665.0,283.0,31.1,157617978.35,12599.96,12509.40307350182,14205,11020,77.5783174938402
294,Dinuba Unified,538.0,96.0,18.75,76425914.54,6302.28,12126.708832359085,6659,5379,80.77789457876558
295,Woodlake Unified,168.0,30.0,26.67,26587448.21,2015.75,13189.854004712886,2118,1883,88.90462700661
296,Exeter Unified,225.0,18.0,72.22,32297132.11,2617.14,12340.620719564105,2730,1839,67.36263736263737
297,Fillmore Unified,298.0,29.0,65.52,46360060.99,3602.9,12867.42929029393,3785,2870,75.82562747688243
298,Ojai Unified,192.0,15.0,86.67,26036825.12,2269.98,11470.068071084326,2453,1232,50.224215246636774
299,Oxnard Union High,4063.0,317.0,50.79,193371793.25,15419.26,12540.925650777015,17538,10847,61.84855741817768
300,Simi Valley Unified,1416.0,159.0,76.73,177362376.93,15734.71,11272.046127955331,16451,5591,33.9857759406723
301,Ventura Unified,1301.0,213.0,61.97,180163180.21,15664.32,11501.500238120774,16353,9021,55.1641900568703
302,Conejo Valley Unified,1767.0,421.0,85.04,190389889.59,17728.65,10739.108143598074,18408,4555,24.744676227727076
303,Oak Park Unified,438.0,157.0,93.63,45781712.28,4424.57,10347.15515406017,4579,350,7.643590303559729
304,Moorpark Unified,505.0,112.0,78.57,62563919.66,5896.79,10609.826644665996,6255,2232,35.68345323741007
305,Santa Paula Unified,429.0,126.0,34.92,67356343.91,5020.07,13417.41129306962,5270,4580,86.90702087286527
306,Davis Joint Unified,717.0,156.0,92.95,98731785.69,7674.57,12864.79707527588,8587,1822,21.21812041458018
307,Woodland Joint Unified,767.0,139.0,38.13,112276752.21,9221.81,12175.131802758895,10031,6040,60.21333865018443
308,Marysville Joint Unified,602.0,42.0,40.48,107389549.48,9072.18,11837.237519537752,10153,7973,78.52851373978135
309,Wheatland Union High,167.0,18.0,55.56,9310830.77,748.75,12435.166303839733,784,345,44.005102040816325
